Timestamp,Electricity demand [kWh],Heat demand [kWh],PV 1kWp 180Azim 40Tilt Clearsky [kW],PV 1kWp 180Azim 40Tilt Physical [kW],DAM Price [EUR/MWh],BM Down Price [EUR/MWh],BM Up Price [EUR/MWh],FCR-N Price [EUR/MW],FCR-D Up Price [EUR/MW],FCR-D Down Price [EUR/MW],Frequency [Hz],Carbon Emission Coefficient [kgCO2/kWh]
2020-01-01 00:00:00+00:00,10.56,85.0,0.0,0.0,28.45,28.45,34.0,58.226,42.049,0.0,49.96325,0.1140295
2020-01-01 01:00:00+00:00,10.62,82.0,0.0,0.0,27.9,27.9,34.0,58.214,42.723,0.0,49.9905,0.1147755
2020-01-01 02:00:00+00:00,10.56,80.0,0.0,0.0,27.52,27.52,34.0,58.188,42.039,0.0,50.02545,0.114442
2020-01-01 03:00:00+00:00,10.68,79.0,0.0,0.0,27.54,26.0,27.54,57.56,41.347,0.0,49.99715,0.115265
2020-01-01 04:00:00+00:00,10.74,78.0,0.0,0.0,26.55,25.0,26.55,54.821,41.636,0.0,49.982299999999995,0.12579
2020-01-01 05:00:00+00:00,30.3,78.0,0.0,0.0,25.83,24.0,25.83,44.77,40.054,0.0,49.98745,0.1290015
2020-01-01 06:00:00+00:00,33.72,139.0,0.0,0.0,25.07,24.0,25.07,33.538,21.09,0.0,49.98115,0.129069
2020-01-01 07:00:00+00:00,33.6,146.0,0.0,0.0,25.65,24.0,25.65,32.687,19.661,0.0,49.9871,0.130616
2020-01-01 08:00:00+00:00,33.24,142.0,0.15,0.0,26.15,25.0,26.15,32.832,19.161,0.0,49.976350000000004,0.13043
2020-01-01 09:00:00+00:00,33.24,140.0,0.28,0.02,26.77,25.0,26.77,32.847,19.211,0.0,49.96395,0.130578
2020-01-01 10:00:00+00:00,33.24,130.0,0.33,0.05,27.4,25.0,27.4,32.903,19.242,0.0,49.955149999999996,0.1301255
2020-01-01 11:00:00+00:00,33.3,135.0,0.27,0.03,28.08,28.08,28.08,32.214,18.759,0.0,50.00815,0.129606
2020-01-01 12:00:00+00:00,33.3,127.0,0.11,0.03,28.69,28.69,28.69,30.824,18.952,0.0,49.9829,0.129308
2020-01-01 13:00:00+00:00,33.6,130.0,0.0,0.0,29.37,29.37,29.37,32.304,18.541,0.0,49.94415,0.125774
2020-01-01 14:00:00+00:00,33.84,131.0,0.0,0.0,29.97,29.97,29.97,32.029,17.879,0.0,49.96775,0.1224109999999999
2020-01-01 15:00:00+00:00,33.78,139.0,0.0,0.0,30.46,30.46,30.46,31.4,17.859,0.0,49.9774,0.1213955
2020-01-01 16:00:00+00:00,33.78,132.0,0.0,0.0,30.39,30.39,33.5,32.168,17.923,0.0,50.0147,0.118818
2020-01-01 17:00:00+00:00,33.54,139.0,0.0,0.0,30.06,30.06,33.5,30.786,19.071,0.0,49.99905,0.1180259999999999
2020-01-01 18:00:00+00:00,22.62,137.0,0.0,0.0,29.38,29.38,29.38,30.647,18.57,0.0,49.9797,0.119535
2020-01-01 19:00:00+00:00,9.66,110.0,0.0,0.0,27.65,27.65,27.65,31.438,18.898,0.0,49.99635,0.121722
2020-01-01 20:00:00+00:00,9.72,62.0,0.0,0.0,27.33,27.33,27.33,32.507,23.89,0.0,49.98655,0.1195025
2020-01-01 21:00:00+00:00,9.66,69.0,0.0,0.0,25.88,25.0,25.88,37.226,30.303,0.0,50.037400000000005,0.1203685
2020-01-01 22:00:00+00:00,10.44,60.0,0.0,0.0,24.81,21.0,24.81,39.111,32.873,0.0,50.008449999999996,0.1221225
2020-01-01 23:00:00+00:00,10.62,75.0,0.0,0.0,12.07,12.07,12.07,57.088,41.207,0.0,50.0119,0.118891
2020-01-02 00:00:00+00:00,10.56,72.0,0.0,0.0,13.13,13.13,13.13,58.545,45.492,0.0,49.955650000000006,0.1196484999999999
2020-01-02 01:00:00+00:00,10.68,74.0,0.0,0.0,19.07,19.07,19.07,58.617,45.965,0.0,49.9637,0.113389
2020-01-02 02:00:00+00:00,10.56,74.0,0.0,0.0,21.12,21.12,21.12,58.447,45.979,0.0,49.99735,0.1118255
2020-01-02 03:00:00+00:00,10.56,73.0,0.0,0.0,24.29,22.73,24.29,57.983,45.484,0.0,49.9962,0.110191
2020-01-02 04:00:00+00:00,10.8,72.0,0.0,0.0,26.27,23.0,26.27,54.895,41.183,0.0,49.9829,0.1189815
2020-01-02 05:00:00+00:00,30.72,70.0,0.0,0.0,27.74,22.5,27.74,44.851,40.531,0.0,49.9808,0.120739
2020-01-02 06:00:00+00:00,35.58,126.0,0.0,0.0,28.39,22.28,28.39,35.44,17.041,0.0,49.9895,0.1183255
2020-01-02 07:00:00+00:00,36.96,136.0,0.0,0.0,29.37,22.5,29.37,34.467,16.359,0.0,49.97715,0.1192175
2020-01-02 08:00:00+00:00,37.86,137.0,0.14,0.0,29.95,23.0,29.95,32.803,15.631,0.0,49.93845,0.119362
2020-01-02 09:00:00+00:00,38.76,132.0,0.28,0.03,29.91,24.0,29.91,32.412,15.1,0.0,49.931200000000004,0.1198744999999999
2020-01-02 10:00:00+00:00,40.38,129.0,0.33,0.09,29.96,25.0,29.96,32.707,15.063,0.0,49.94605,0.119689
2020-01-02 11:00:00+00:00,40.56,132.0,0.27,0.2,29.94,25.0,29.94,34.406,14.845,0.0,49.974149999999995,0.1185484999999999
2020-01-02 12:00:00+00:00,41.16,126.0,0.11,0.05,29.94,25.0,29.94,34.193,15.607,0.0,49.94685,0.1193829999999999
2020-01-02 13:00:00+00:00,40.44,131.0,0.0,0.0,30.18,26.0,30.18,32.712,16.752,0.0,49.96155,0.1172119999999999
2020-01-02 14:00:00+00:00,39.06,120.0,0.0,0.0,30.96,26.0,30.96,32.686,16.746,0.0,49.9735,0.1160845
2020-01-02 15:00:00+00:00,39.3,122.0,0.0,0.0,31.2,27.5,31.2,32.647,16.851,0.0,50.0029,0.1154974999999999
2020-01-02 16:00:00+00:00,38.82,122.0,0.0,0.0,30.98,26.0,30.98,32.487,16.422,0.0,50.017250000000004,0.116163
2020-01-02 17:00:00+00:00,39.0,118.0,0.0,0.0,30.35,26.0,30.35,34.122,22.357,0.0,49.98755,0.1160785
2020-01-02 18:00:00+00:00,28.44,117.0,0.0,0.0,29.27,25.32,29.27,34.372,22.283,0.0,50.00875,0.118293
2020-01-02 19:00:00+00:00,15.48,96.0,0.0,0.0,28.17,20.25,28.17,35.261,22.943,0.0,50.02595,0.120671
2020-01-02 20:00:00+00:00,16.92,60.0,0.0,0.0,28.02,16.5,28.02,35.068,24.413,0.0,49.9885,0.117738
2020-01-02 21:00:00+00:00,19.98,60.0,0.0,0.0,27.69,16.5,27.69,39.172,31.443,0.0,50.01465,0.1163345
2020-01-02 22:00:00+00:00,22.74,57.0,0.0,0.0,24.39,15.0,24.39,39.86,31.971,0.0,50.0079,0.116973
2020-01-02 23:00:00+00:00,25.8,65.0,0.0,0.0,18.93,15.0,18.93,75.318,39.798,0.0,49.943200000000004,0.10328
2020-01-03 00:00:00+00:00,25.92,62.0,0.0,0.0,9.98,9.98,9.98,62.309,40.532,0.0,49.995850000000004,0.09928845
2020-01-03 01:00:00+00:00,16.68,66.0,0.0,0.0,1.53,1.53,1.53,61.635,40.704,0.0,50.013850000000005,0.099058
2020-01-03 02:00:00+00:00,13.92,66.0,0.0,0.0,0.14,0.14,0.14,61.766,40.934,0.0,50.01445,0.0982309
